brand,name,price,description
Baxi,Baxi Potterton Promax 24kW Natural Gas Combi Boiler ErP 7219453 - 119237,494.99,2 year manufacturer warranty Outputs of 24kW to 33kW ensuring a model to suit most sizes of property Fully modulating and highly efficient boiler that intelligently uses the right amount of fuel to meet the set central heating temperature  
Worcester,Worcester Greenstar 25i 25kW Combi Boiler 7733600012 - 774426,818.99,Excellent energy efficiency Improved hot water performance from previous i Junior Wall mounting jig providing pre-plumbing and rear piping as standard  
Ideal,Ideal Logic+ C30 30kW Combi Boiler 215440 - 374252,784.99,Large backlit display with user friendly controls Low lift weight Low component count maximising reliability  
Vaillant,Vaillant Etec Sustain 34kW Boiler ERP10019982 - 114262,950.99,"Exclusively designed for the specification market and do not attract any rewards, credits, cash, guarantee, or incentive points if registered on Vaillant Advance. 2 Year Guarantee  "
Worcester,Worcester Greenstar 8000 Style 30kW Combi Boiler Black 7738100832 - 432129,1223.99,Greenstar Intelligent Filling System Can Eliminate The Need For Your Customer To Manually Refill The Boiler. Combi Outputs Range From 30kW Up To 50kW Steel Reinforced Front Cover Can Be Removed With One Screw For Quick And Easy Internal Access.  
Worcester,Worcester Greenstar 8000 Style 30kW Combi Boiler White 7738100795 - 432175,1223.99,Greenstar Intelligent Filling System Can Eliminate The Need For Your Customer To Manually Refill The Boiler. Combi Outputs Range From 30kW Up To 50kW Steel Reinforced Front Cover Can Be Removed With One Screw For Quick And Easy Internal Access.  
Glow-Worm,"Glow-worm Energy7 30C 30kW Combi Boiler With Horizontal Flue, Power Filter And 10 Year Warranty 10035897 - 479002",858.99,"Includes Boiler, Flue (Horizontal), Power System Filter And 10 Year Warranty When Registered On Club Energy7 7 year Guarantee, increases to 10 year Warranty when installed and registered, with a filter, on Club Energy7  "
Baxi,Baxi 600 36kW Combi Boiler 7691350 - 263667,1009.99,Compact Cupboard Fit Lightweight- 29.5kg Lift Weight Easy Fill Permanent Filling Link  
Vaillant,Vaillant ecoTEC Exclusive 835 35kW Combi Boiler 10017064 - 176976,1454.99,Full heat condense heat engine for greater efficiency and lower flue temperatures 1 to 10 modulation for greater efficiency and suitability for wide range of house types High hot water flow rates for customer comfort  
Viessman,Viessmann Vitodens 100-W 35KW Combi ZK06237 - 550684,1106.99,WiFi inside Simple guided comissioning via the Vitoguide app Homeowner control of heating and DHW programmes using the Vicare app  
Potterton,Potterton Promax Ultra 24 Combi ErP - 142742,654.99,2 year manufacturer warranty N0x Class 5 - best in class Flueing options of up to 20m - offering flexibility for a variety of different housing projects  
Baxi,Baxi Platinum 28kW Combi Boiler 7219450 - 506941,870.27,Full wall mounting jig for quick and easy installation Built-in frost thermostat ideal for garages and lofts Front access to all components for straight forward and quick servicing  
Intergas,Intergas Compact Eco RF 24 24kW Combi Boiler 049517 - 949243,599.99,Most suitable for 2 – 4 bedroomed properties and 1 bathroom Unique 2-in-1 heat exchanger Innovative control system  
Glow-Worm,"Glow-worm Ultimate3 30kW Combi Boiler With Horizontal Flue, Power Filter And 10 Year Warranty 10021404 - 479014",812.99,"Include Boiler, Flue (Horizontal) and Power System Filter 5 year Guarantee increased to 10 year Warranty.  Must be installed with a Filter and registered on Club Energy  "
Vitodens,Vitodens 100-W Combi B1KF-M Communal Flue Boiler 30kW ZK06238 - 550681,1059.0,WiFi inside Simple guided comissioning via the Vitoguide app Homeowner control of heating and DHW programmes using the Vicare app  
Intergas,Intergas Compact Hre 24/18 Combi Blrerp 049508 - 342265,726.99,7 year Standard Length term (out of box) Warranty. *Boiler must be registered within 30 days of installation to obtain the Warranty. **Warranty Extended to 9 years when installed and Registered with the Intergas System Filter. Filter must be fitted at the same time as the boiler and does not apply if the boiler is already registered.  
Ideal,Ideal Esprit Eco2 24kW Combi Boiler 220469 - 446277,512.99,ErP seasonal efficiency of 94% for lower running costs and fuel bills Fast hot water response through DHW preheat Pump/diverter valve exercise & anti-cycling functions  
Ideal,Ideal Logic Max C24 24kW Combi Boiler 218872 - 248915,898.99,Ideal System Filter Included In Box Compact Cupboard Fit Large Back-lit Display & Easy To See Pressure Gauge  
Baxi,Baxi 600 24kW Combi Boiler 7682194 - 124144,768.99,Compact Cupboard Fit Lightweight- 29.5kg Lift Weight Easy Fill Permanent Filling Link  
Ideal,Ideal Esprit Eco2 30kW Combi Boiler 220470 - 446279,572.99,ErP seasonal efficiency of 94% for lower running costs and fuel bills Fast hot water response through DHW preheat Pump/diverter valve exercise & anti-cycling functions  
Ideal,Ideal Logic Max C35 35kW Combi Boiler 218874 - 248905,1108.99,Ideal System Filter Included In Box Compact Cupboard Fit Large Back-lit Display & Easy To See Pressure Gauge  
Ideal,Ideal Vogue Max C32 32kW Combi Boiler 218857 - 248930,1192.99,Ideal System Filter Included In Box Backlit 3.5” LCD Full Colour Display Built Using Premium Components  
Ideal,Ideal Logic Max C30 30kW Combi Boiler 218873 - 248918,984.99,Ideal System Filter Included In Box Compact Cupboard Fit Large Back-lit Display & Easy To See Pressure Gauge  
Ideal,Ideal Vogue Max C26 26kW Combi Boiler 218856 - 248746,1078.99,Ideal System Filter Included In Box Backlit 3.5” LCD Full Colour Display Built Using Premium Components  
Ideal,Ideal Vogue Max C40 40kW Combi Boiler 218558 - 248927,1312.99,Ideal System Filter Included In Box Backlit 3.5” LCD Full Colour Display Built Using Premium Components  
Ideal,Ideal Vogue Gen2 C26 26kW Combi Boiler 216358 - 167912,971.99,Stainless steel heat exchanger Cool burner door technology Backlit 3.5 inch LCD full colour display  
Ideal,Ideal Logic Code ESP1 33kW Natural Gas Combi Boiler ErP 210829 - 956668,1308.99,ErP compliant.  Energy Saving Trust recommended One single appliance to install so it’s quick and easy Built-in pipework - no extra space at the side of the product needed  
